Positive,Negative,Neutral,Time
0.11,0.0,0.89,2012-04-22
0.137,0.093,0.77,2012-10-05
0.186,0.0,0.814,2011-02-28
0.09,0.043,0.867,2012-03-01
0.071,0.029,0.9,2011-01-06
0.072,0.038,0.89,2009-11-26
0.091,0.0,0.909,2010-12-15
0.386,0.0,0.614,2010-02-04
0.346,0.0,0.654,2010-11-02
0.189,0.0,0.811,2010-10-15
0.316,0.046,0.637,2010-05-19
0.203,0.02,0.777,2012-09-11
0.228,0.228,0.545,2012-08-07
0.212,0.0,0.788,2012-07-17
0.193,0.106,0.7,2012-07-05
0.099,0.018,0.882,2012-06-17
0.226,0.0,0.774,2012-03-18
0.303,0.0,0.697,2012-03-14
0.184,0.0,0.816,2012-02-17
0.26,0.05,0.69,2012-01-16
0.256,0.0,0.744,2011-11-29
0.289,0.077,0.634,2011-08-25
0.396,0.0,0.604,2011-08-08
0.1,0.046,0.854,2011-07-20
0.055,0.065,0.88,2011-06-18
0.231,0.062,0.708,2009-06-16
0.203,0.0,0.797,2007-05-12
0.132,0.095,0.773,2007-04-30
0.237,0.044,0.72,2009-12-23
0.266,0.049,0.685,2008-04-20
0.254,0.0,0.746,2008-04-08
0.188,0.126,0.686,2007-07-22
0.119,0.052,0.829,2007-08-22
0.0,0.121,0.879,2006-09-18
0.187,0.06,0.753,2009-06-16
0.0,0.184,0.816,2008-08-24
0.449,0.141,0.411,2008-07-28
0.44,0.0,0.56,2008-07-03
0.141,0.015,0.844,2008-05-02
0.167,0.0,0.833,2007-07-14
0.206,0.051,0.743,2009-10-24
0.243,0.041,0.716,2008-02-05
0.138,0.045,0.817,2012-08-08
0.139,0.035,0.826,2010-09-17
0.084,0.0,0.916,2010-07-09
0.14,0.0,0.86,2010-02-07
0.295,0.0,0.705,2009-10-22
0.266,0.0,0.734,2009-08-12
0.073,0.037,0.89,2009-07-27
0.189,0.052,0.759,2009-07-04
0.227,0.076,0.698,2009-06-11
0.261,0.052,0.687,2009-06-03
0.214,0.055,0.731,2009-05-01
0.261,0.067,0.672,2009-03-07
0.377,0.0,0.623,2009-03-04
0.448,0.0,0.552,2008-12-30
0.405,0.059,0.536,2008-08-31
0.345,0.091,0.563,2008-07-26
0.282,0.07,0.648,2008-07-14
0.365,0.0,0.635,2008-06-24
0.283,0.0,0.717,2008-05-25
0.107,0.028,0.865,2008-05-08
0.12,0.0,0.88,2008-05-02
0.06,0.029,0.911,2008-01-30
0.179,0.048,0.773,2008-01-06
0.15,0.0,0.85,2007-12-29
0.24,0.0,0.76,2007-06-01
0.243,0.088,0.669,2008-08-23
0.023,0.09,0.887,2007-11-15
0.066,0.075,0.858,2010-07-06
0.139,0.087,0.774,2010-06-24
